bin	CAPES_S11	CAPES_S21	CAPES_S7
SPAdesHybrid-CAPES_S7.4.fa	0.0	0.0	2.0526299999999997
SPAdesHybrid-CAPES_S7.40.fa	10.7292	0.8541125	31.705350000000006
SPAdesHybrid-CAPES_S7.41.fa	49.553999999999995	4.57437	113.71
SPAdesHybrid-CAPES_S7.42.fa	0.0	0.0	1.5260950000000002
SPAdesHybrid-CAPES_S7.43.fa	0.0177007	0.0176549	36.205
SPAdesHybrid-CAPES_S7.44.fa	1.15376	0.01413105	32.8956
SPAdesHybrid-CAPES_S7.45.fa	0.0	0.0	15.42
SPAdesHybrid-CAPES_S7.5.fa	0.0	0.0	8.302675
SPAdesHybrid-CAPES_S7.6.fa	3.99949	119.4755	121.7105
SPAdesHybrid-CAPES_S7.7.fa	0.0323171	0.0	7.810219999999999
SPAdesHybrid-CAPES_S7.8.fa	0.0	0.06880789999999999	10.28735
SPAdesHybrid-CAPES_S7.9.fa	5.77526	124.824	128.1815
MEGAHIT-CAPES_S11.1.fa	41.31100000000001	62.5088	49.6092
MEGAHIT-CAPES_S11.10.fa	52.7425	28.17055	0.3267055
MEGAHIT-CAPES_S11.11.fa	7.909219999999999	0.0	0.0
MEGAHIT-CAPES_S11.12.fa	7.084875	0.0	0.0
MEGAHIT-CAPES_S11.13.fa	24.38905	0.0	0.005887425
MEGAHIT-CAPES_S11.14.fa	25.08515	17.6063	0.03658035
MEGAHIT-CAPES_S11.15.fa	27.79035	17.558799999999998	0.04138745
MEGAHIT-CAPES_S11.16.fa	21.4988	0.0	0.0
MEGAHIT-CAPES_S11.17.fa	17.13295	0.022964400000000003	31.4814
MEGAHIT-CAPES_S11.18.fa	27.94165	15.6205	0.036351850000000005
MEGAHIT-CAPES_S11.19.fa	6.97496	0.0	0.0
MEGAHIT-CAPES_S11.2.fa	18.0394	0.047675800000000004	26.3079
MEGAHIT-CAPES_S11.20.fa	9.898135	122.118	0.045029900000000005
MEGAHIT-CAPES_S11.21.fa	6.74489	0.0	0.0
MEGAHIT-CAPES_S11.22.fa	13.6143	0.0	0.0
MEGAHIT-CAPES_S11.23.fa	50.7267	20.3426	0.26151199999999997
MEGAHIT-CAPES_S11.24.fa	51.88045	0.01967615	0.0199646
MEGAHIT-CAPES_S11.25.fa	12.5782	7.76165	0.0
MEGAHIT-CAPES_S11.26.fa	51.3919	3.8940050000000004	96.05525
MEGAHIT-CAPES_S11.27.fa	7.1296100000000004	0.0	0.0
MEGAHIT-CAPES_S11.28.fa	38.8906	74.8787	57.0531
MEGAHIT-CAPES_S11.29.fa	21.3269	0.0	0.0
MEGAHIT-CAPES_S11.3.fa	13.6816	0.0	0.0
MEGAHIT-CAPES_S11.30.fa	17.6717	0.0	0.0317151
MEGAHIT-CAPES_S11.31.fa	52.4479	30.1109	0.337208
MEGAHIT-CAPES_S11.32.fa	6.663710000000001	0.0	0.0
MEGAHIT-CAPES_S11.33.fa	35.7543	0.39758699999999997	0.716119
MEGAHIT-CAPES_S11.34.fa	10.02825	0.0	0.0
MEGAHIT-CAPES_S11.35.fa	7.40896	0.0	0.0
MEGAHIT-CAPES_S11.36.fa	30.3586	13.5157	0.0355577
MEGAHIT-CAPES_S11.37.fa	20.16195	0.0	0.0
MEGAHIT-CAPES_S11.38.fa	9.93881	0.0	0.0
MEGAHIT-CAPES_S11.39.fa	16.4526	0.0	0.0
MEGAHIT-CAPES_S11.4.fa	57.868	28.0719	0.405857
MEGAHIT-CAPES_S11.40.fa	51.69395	14.63105	0.313942
MEGAHIT-CAPES_S11.41.fa	39.95115	69.09145	49.00245
MEGAHIT-CAPES_S11.42.fa	13.2532	177.59599999999998	52.7165
MEGAHIT-CAPES_S11.43.fa	27.6453	9.101980000000001	0.025018799999999997
MEGAHIT-CAPES_S11.44.fa	40.4004	75.9547	66.5443
MEGAHIT-CAPES_S11.45.fa	40.7591	0.10269400000000001	0.0
MEGAHIT-CAPES_S11.46.fa	36.16455000000001	58.4426	33.3122
MEGAHIT-CAPES_S11.47.fa	57.12385	20.9375	0.4085505
MEGAHIT-CAPES_S11.48.fa	47.5486	32.2377	0.308866
MEGAHIT-CAPES_S11.5.fa	12.40645	0.0	0.0
MEGAHIT-CAPES_S11.6.fa	5.855455	0.0	0.0
MEGAHIT-CAPES_S11.7.fa	6.89705	0.0	0.0
MEGAHIT-CAPES_S11.8.fa	45.0114	21.7982	0.26026350000000004
MEGAHIT-CAPES_S11.9.fa	40.7648	77.15955	63.28445000000001
SPAdesHybrid-CAPES_S21.1.fa	0.167893	34.42855	0.0
SPAdesHybrid-CAPES_S21.10.fa	3.9305199999999996	125.851	109.135
SPAdesHybrid-CAPES_S21.11.fa	27.4733	92.2157	58.0296
SPAdesHybrid-CAPES_S21.12.fa	12.9087	52.29305	0.543622
SPAdesHybrid-CAPES_S21.13.fa	0.06555230000000001	19.9187	0.114943
SPAdesHybrid-CAPES_S21.14.fa	21.6048	72.021	41.9372
SPAdesHybrid-CAPES_S21.15.fa	0.0	15.4868	0.0
SPAdesHybrid-CAPES_S21.16.fa	0.0	2.016135	0.0
SPAdesHybrid-CAPES_S21.17.fa	38.8069	4.3491599999999995	86.3214
SPAdesHybrid-CAPES_S21.18.fa	0.3427	2.56756	0.0
SPAdesHybrid-CAPES_S21.19.fa	0.0	110.969	0.0
SPAdesHybrid-CAPES_S21.2.fa	0.0	11.6218	0.0
SPAdesHybrid-CAPES_S21.20.fa	0.0	6.7199	0.0
SPAdesHybrid-CAPES_S21.21.fa	5.9768550000000005	63.1866	0.05068335
SPAdesHybrid-CAPES_S21.22.fa	12.6489	8.91013	0.0
SPAdesHybrid-CAPES_S21.23.fa	0.0	6.8517850000000005	0.0
SPAdesHybrid-CAPES_S21.24.fa	10.8977	211.2185	43.30445
SPAdesHybrid-CAPES_S21.25.fa	0.0	15.0253	0.0
SPAdesHybrid-CAPES_S21.26.fa	11.97035	19.74375	0.03015495
SPAdesHybrid-CAPES_S21.27.fa	29.0417	53.6715	0.20624
SPAdesHybrid-CAPES_S21.28.fa	4.084890000000001	138.579	85.2352
