task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
514	ec/6dc220	c2eaeca5-8366-4329-8382-eb20b93dfb6b	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.47.fa)	COMPLETED	0	2021-07-30 00:06:04.116	1h 43m 19s	4m 42s	561.3%	6 GB	55.5 GB	3.6 GB	2.9 GB
531	b4/922263	a55317b1-2ffa-476e-b6db-da5f0644c43c	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.62.fa)	COMPLETED	0	2021-07-30 00:06:04.594	1h 43m 28s	1m 57s	464.9%	3.5 GB	25.4 GB	2.4 GB	2.4 GB
534	ff/1771b4	5fea8dab-40dc-403b-bee6-00e0780dc7a1	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.8.fa)	COMPLETED	0	2021-07-30 00:06:04.703	1h 43m 38s	1m 55s	375.7%	2.9 GB	23.3 GB	2.2 GB	2.1 GB
532	7b/247d2b	e2a2b346-9b73-44a5-86b7-645ccfd5a75c	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.63.fa)	COMPLETED	0	2021-07-30 00:06:04.699	1h 43m 58s	2m 31s	506.2%	3.5 GB	25.4 GB	2.7 GB	2.4 GB
520	f1/78a377	42171338-6f2f-4ce3-8851-fcd3482ac397	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.52.fa)	COMPLETED	0	2021-07-30 00:06:04.282	1h 44m 19s	4m 12s	596.6%	4.5 GB	25.6 GB	4.1 GB	3 GB
533	3c/230596	f169429f-6773-49f4-bb8b-f96a8fef37e6	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.7.fa)	COMPLETED	0	2021-07-30 00:06:04.637	1h 44m 28s	2m 50s	500.1%	3.9 GB	16.4 GB	2.6 GB	2.4 GB
527	a6/ff7218	17780962-662e-4d1e-ac8a-48ad182b3e3c	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.59.fa)	COMPLETED	0	2021-07-30 00:06:04.439	1h 45m 8s	4m 3s	555.0%	8.4 GB	57.1 GB	3.4 GB	2.7 GB
519	c1/8ba40a	dc818ee0-c470-4768-9131-628e410265b8	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.51.fa)	COMPLETED	0	2021-07-30 00:06:04.266	1h 45m 29s	6m 28s	620.9%	6.5 GB	57.3 GB	5.4 GB	3.5 GB
528	fe/6cd8b0	bdc47127-98ac-4f56-be45-3e0936785426	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.6.fa)	COMPLETED	0	2021-07-30 00:06:04.493	1h 45m 38s	4m 30s	598.1%	4.3 GB	52.6 GB	4.1 GB	3 GB
536	f5/d6be5e	0d216151-3ac1-4ffd-82f2-c22363a344fc	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (MEGAHIT-CAPES_S7)	COMPLETED	0	2021-07-30 00:24:02.354	1h 30m 21s	3s	192.4%	112.8 MB	2.3 GB	28 MB	63.5 KB
